Year,Country,Temperature
1901,Austria,7.7051099999999995
1902,Austria,5.229072500000001
1903,Austria,5.7988541666666675
1904,Austria,6.146429166666667
1905,Austria,5.681745
1906,Austria,5.596145
1907,Austria,5.5800816666666675
1908,Austria,5.1927216666666665
1909,Austria,5.070985833333334
1910,Austria,5.833610833333332
1911,Austria,6.3382016666666665
1912,Austria,5.336992500000001
1913,Austria,5.7469616666666665
1914,Austria,5.492159999999999
1915,Austria,5.568590833333334
1916,Austria,6.364660833333333
1917,Austria,5.346416666666666
1918,Austria,6.060194166666665
1919,Austria,5.1899291666666665
1920,Austria,6.519343333333334
1921,Austria,6.500513333333334
1922,Austria,5.2669508333333335
1923,Austria,6.100165833333333
1924,Austria,5.288664166666667
1925,Austria,5.712245833333333
1926,Austria,6.475655
1927,Austria,6.155920833333334
1928,Austria,6.306511666666666
1929,Austria,5.519170833333333
1930,Austria,6.4472233333333335
1931,Austria,5.2997758333333325
1932,Austria,5.9807725
1933,Austria,5.001234166666667
1934,Austria,7.066499999999999
1935,Austria,5.8026925
1936,Austria,6.1556275000000005
1937,Austria,6.212174166666667
1938,Austria,6.014114166666668
1939,Austria,5.905804166666666
1940,Austria,4.462775833333333
1941,Austria,4.946140833333334
1942,Austria,5.482192499999999
1943,Austria,6.606553333333333
1944,Austria,5.645115833333333
1945,Austria,6.423525833333333
1946,Austria,6.537636666666667
1947,Austria,6.548911666666668
1948,Austria,6.594790833333334
1949,Austria,6.623605833333333
1950,Austria,6.723968333333334
1951,Austria,6.7722275
1952,Austria,5.866742500000001
1953,Austria,6.529001666666667
1954,Austria,5.374803333333333
1955,Austria,5.5486241666666665
1956,Austria,5.028136666666666
1957,Austria,6.471603333333334
1958,Austria,6.371340000000001
1959,Austria,6.611211666666666
1960,Austria,6.193736666666666
1961,Austria,6.8875416666666665
1962,Austria,5.180842500000001
1963,Austria,5.493531666666667
1964,Austria,6.01418
1965,Austria,5.373588333333333
1966,Austria,6.543029166666666
1967,Austria,6.52845
1968,Austria,6.109064166666667
1969,Austria,5.743197500000001
1970,Austria,5.648705
1971,Austria,6.197496666666666
1972,Austria,5.987381666666667
1973,Austria,5.921986666666666
1974,Austria,6.602476666666667
1975,Austria,6.610159166666666
1976,Austria,6.097761666666667
1977,Austria,6.656960833333333
1978,Austria,5.542298333333334
1979,Austria,6.101108333333333
1980,Austria,5.386213333333334
1981,Austria,6.204405
1982,Austria,6.669608333333334
1983,Austria,6.919051666666668
1984,Austria,5.847613333333332
1985,Austria,5.689493333333334
1986,Austria,6.096965
1987,Austria,5.927937500000001
1988,Austria,6.820498333333333
1989,Austria,7.088128333333334
1990,Austria,7.091763333333333
1991,Austria,6.1812075
1992,Austria,7.403840833333334
1993,Austria,6.758594166666666
1994,Austria,7.9764124999999995
1995,Austria,6.739815
1996,Austria,5.724172499999999
1997,Austria,6.860169999999999
1998,Austria,7.070188333333334
1999,Austria,7.070555833333334
2000,Austria,7.8915975000000005
2001,Austria,6.916587500000001
2002,Austria,7.668556666666668
2003,Austria,7.184292499999999
2004,Austria,6.679756666666667
2005,Austria,6.334377500000001
2006,Austria,7.142133333333331
2007,Austria,7.766454166666666
2008,Austria,7.5748524999999995
2009,Austria,7.366118333333333
2010,Austria,6.357191666666668
2011,Austria,7.7647658333333345
2012,Austria,7.524997499999999
2013,Austria,7.17528
2014,Austria,8.275609166666667
2015,Austria,8.170463333333332
2016,Austria,7.679596666666666
1901,Belgium,8.912498333333334
1902,Belgium,8.560790833333334
1903,Belgium,9.407644166666666
1904,Belgium,9.39823
1905,Belgium,9.0426375
1906,Belgium,9.564473333333332
1907,Belgium,9.183789166666665
1908,Belgium,8.891850833333335
1909,Belgium,8.702125
1910,Belgium,9.749596666666667
1911,Belgium,10.4731975
1912,Belgium,9.646622500000001
1913,Belgium,10.078570833333334
1914,Belgium,9.956610000000001
1915,Belgium,9.407721666666667
1916,Belgium,9.744132500000001
